Voltage_V,Current_uA,Resistance_Ohm,ReflectionCoefficient_Gamma,Power_uW
0.01,21.3,469.483568075117,0.807501129688206,0.213
0.02,44.3,451.467268623025,0.800585190186811,0.886
0.03,67.6,443.786982248521,0.797483523067705,2.028
0.04,90.5,441.988950276243,0.796743402582819,3.62
0.05,113.8,439.367311072056,0.795654516071108,5.69
0.06,136.4,439.882697947214,0.795869500149656,8.184
0.07,159.3,439.422473320778,0.795677547617521,11.151
0.08,181.9,439.802089059923,0.795835905494136,14.552
0.09,204.9,439.238653001464,0.79560077809367,18.441
0.1,227.5,439.56043956044,0.795735129068462,22.75
0.11,250.3,439.472632840591,0.795698485899686,27.533
0.12,273.2,439.238653001464,0.795600778093671,32.784
0.13,296.1,439.04086457278,0.795518110562481,38.493
0.14,320,437.5,0.794871794871795,44.8
0.15,343.4,436.808386721025,0.794580367290782,51.51
0.16,367.5,435.374149659864,0.793973370707779,58.8
0.17,392.1,433.562866615659,0.793201656074471,66.657
0.18,418,430.622009569378,0.791936286709806,75.24
0.19,445,426.966292134831,0.790341578327444,84.55
0.2,475,421.052631578947,0.787709497206704,95
0.21,506,415.01976284585,0.784955376115597,106.26
0.22,539,408.163265306122,0.78173719376392,118.58
0.23,574,400.696864111498,0.778121376111326,132.02
0.24,612,392.156862745098,0.773835920177384,146.88
0.25,652,383.435582822086,0.769285208775655,163
0.26,693,375.180375180375,0.764805701679959,180.18
0.27,737,366.350067842605,0.759817500407365,198.99
0.28,782,358.056265984655,0.754935756816045,218.96
0.29,828,350.24154589372,0.750150875075438,240.12
0.3,877,342.075256556442,0.744946924531045,263.1
0.31,927,334.412081984897,0.739862494738319,287.37
0.32,979,326.864147088866,0.734652391923025,313.28
0.33,1032,319.767441860465,0.729559748427673,340.56
0.34,1087,312.78748850046,0.724356536072017,369.58
0.35,1143,306.211723534558,0.719268083016087,400.05
0.36,1200,300,0.714285714285714,432
0.37,1260,293.650793650794,0.709006928406467,466.2
0.38,1319,288.097043214556,0.704226931270322,501.22
0.39,1380,282.608695652174,0.699346405228758,538.2
0.4,1441,277.585010409438,0.694735727147548,576.4
