chest,,neck,,wrist,
Accuracy,PCC,Accuracy,PCC,Accuracy,PCC
0.9797,0.9087,0.9982,0.9455,0.9741,0.8963
0.9739,0.8919,0.9844,0.9417,0.9951,0.9787
0.9351,0.9094,0.9806,0.8426,0.9642,0.9564
0.9777,0.8484,0.981,0.8555,0.9801,0.9648
0.9992,0.9492,0.9837,0.935,0.9904,0.9751
0.9924,0.877,0.9794,0.909,0.9997,0.9107
0.9947,0.9348,0.9955,0.9388,0.9807,0.9077
0.9787,0.8935,0.991,0.8785,0.9926,0.9764
0.9772,0.9345,0.9808,0.9118,0.9922,0.9442
0.9967,0.9352,0.9802,0.9425,0.9937,0.9644
0.9898,0.9707,0.9832,0.9341,0.9813,0.9076
0.9795,0.9097,0.9943,0.9885,0.9799,0.8349
0.9967,0.9679,0.9881,0.9957,0.9933,0.9859
0.9754,0.9342,0.9937,0.9819,0.9863,0.9004
0.9779,0.9656,0.9941,0.9449,0.9797,0.9734
0.9803,0.8145,0.9716,0.9083,0.9916,0.9688
